time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.orientation_covariance,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.angular_velocity_covariance,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.linear_acceleration_covariance
2024/07/05/10:37:55.191641,6792,1720190275,177724042,imu_link,-0.005357004702091217,0.012172194197773933,-0.6532363891601562,-0.7570372223854065,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",-0.001064225216396153,-0.002128450432792306,0.001064225216396153,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.19153612852096558,-0.11013327538967133,9.749189376831055,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:55.288332,6793,1720190275,280724042,imu_link,-0.005377084948122501,0.012148020789027214,-0.6532410979270935,-0.7570334076881409,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",-0.001064225216396153,-0.002128450432792306,0.001064225216396153,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.2968810200691223,-0.023942016065120697,9.648633003234863,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:55.391490,6794,1720190275,383724042,imu_link,-0.005457039922475815,0.012239075265824795,-0.6532383561134338,-0.7570337057113647,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",-0.001064225216396153,-0.003192675532773137,-0.001064225216396153,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.31603461503982544,-0.15322890877723694,9.586383819580078,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:55.494761,6795,1720190275,486724042,imu_link,-0.005477794446051121,0.01226743683218956,-0.6532286405563354,-0.7570415139198303,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",-0.001064225216396153,-0.001064225216396153,0.0,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.1628057211637497,-0.12928688526153564,9.643844604492188,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:55.597958,6796,1720190275,589724042,imu_link,-0.005416448228061199,0.012295321561396122,-0.6532318592071533,-0.7570387125015259,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",0.0,0.0,0.0,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.24420857429504395,-0.11013327538967133,9.62947940826416,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:55.687813,6797,1720190275,672724042,imu_link,-0.005415661260485649,0.012226427905261517,-0.6532280445098877,-0.757043182849884,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",-0.001064225216396153,-0.001064225216396153,-0.001064225216396153,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.22505496442317963,-0.1388636976480484,9.658209800720215,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:55.784231,6798,1720190275,775724042,imu_link,-0.005367841571569443,0.012194941751658916,-0.6532332897186279,-0.757039487361908,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",-0.002128450432792306,-0.001064225216396153,0.0,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.2968810200691223,-0.10055647045373917,9.600749015808105,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:55.886393,6799,1720190275,878724042,imu_link,-0.005409575067460537,0.012192763388156891,-0.6532329320907593,-0.757039487361908,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",-0.001064225216396153,-0.001064225216396153,0.0,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.21547815203666687,-0.028730420395731926,9.720458984375,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:55.989707,6800,1720190275,981724042,imu_link,-0.005442763678729534,0.012111560441553593,-0.653231680393219,-0.7570416927337646,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",-0.002128450432792306,-0.002128450432792306,-0.001064225216396153,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.24420857429504395,-0.05746084079146385,9.533711433410645,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:56.092523,6801,1720190276,84724042,imu_link,-0.00541450921446085,0.01204357948154211,-0.6532205939292908,-0.757052481174469,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",-0.001064225216396153,-0.001064225216396153,-0.002128450432792306,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.1388636976480484,-0.09576806426048279,9.567230224609375,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
